_id,link,last_seen,ispublished,views,deadline,company_name,content,source,branches_count,display_name,country,industry,revenue_range,employees_range,year_founded,description,longitude,latitude,company_status,revenue,employees_count,technologies_used
,,,,,,http://anton-paar.co.uk,,,0,Anton Paar UK & Ireland,United Kingdom,Electrical/Electronic Manufacturing,1M - 10M,10 - 50,1982,"Anton Paar Ltd UK & Ireland: sales, application support and service of high-quality measuring and analysis instruments for research and industry.",,,active,,,"['Google Analytics', 'Google Tag Manager']"
,,,,,,http://kubota.com,,,8,Kubota Tractor Corporation,United States,Wholesale,200M - 1B,"1,000 - 5,000",1972,"For Earth, For Life is much more than Kubota's brand statement; it's a mission to which we dedicate ourselves as a global company. We are committed to engineering excellence so that our customers can focus on planting, feeding, building and caring for our world.  From investing in our communities and dealerships, to ensuring a broad range of high quality products through strategic partnerships, to employing America's best and brightest men and women, we never lose sight of our purpose: to engineer rewarding experiences, and help people achieve more.

Get to know who we are and where we do business. From our leadership team to our strategic partners and trusted dealer network, the men and women of Kubota are equipped to serve you from around the nation. For more information, we encourage you to visit our website at www.KubotaUSA.com.",-118.34514,33.8485,active,,1277,"['CloudFlare', 'Eloqua', 'Google Analytics', 'Google DoubleClick', 'Google Tag Manager', 'Piwik', 'ShareThis']"
,,,,,,http://pella.com,,,0,Pella Windows & Doors of New Jersey,United States,Building Materials,10M - 50M,50 - 200,1953,"Learn why and how Pella is a trusted partner for pros with solutions for builders, remodelers, contractors, commercial professionals and architects.",-74.29287,40.85727,active,,,['Google Tag Manager']
,,,,,,http://cinnabarhills.com,,,0,CINNABAR HILLS GOLF CLUB,United States,Recreational Facilities and Services,1M - 10M,50 - 200,1998,"Located in the hills overlooking the Coyote Valley, in San Jose’s Silicon Valley, Cinnabar Hills Golf Club offers 27 magnificent holes, creating 6 different 18-hole combinations. Cinnabar Hills is routinely ranked among the top 10 golf courses in Northern California. Close to The Peninsula and Morgan Hill, it is also an ideal Wedding Venue with a majestic mountain location, with the ability to easily accommodate up to 250 guests. Cinnabar Hills offers one of the finest clubhouses and most comfortable restaurants in the Almaden Valley. The Restaurant and Banquet facility is open to the public for breakfast, lunch, dinner, brunches, weddings, ceremonies, receptions, bridal showers, memorial services, tournaments, banquets and corporate or special events. Cinnabar Hills also has a full service bar and cocktail lounge offering Happy Hour Monday through Friday. 

The practice facility, with a natural grass driving range tee, is perfect for golf lessons, instruction, clinics and camps. Besides offering stunning views from several holes, Cinnabar Hills, is not only beautiful but challenging to the experienced golfer. One of Cinnabar Hills unique and impressive amenities is the Brandenburg Historical Golf Museum, the only one of its kind in the Western United States. Cinnabar is proud of its support of Junior Golf and offers junior golfers free play when accompanied by a paying adult after twilight hours begin 365 days a year.",-121.75164,37.162315,active,,56,"['Act-On', 'Google Analytics', 'Google DoubleClick']"
,,,,,,http://pecoy.com,,,0,"KENT PECOY & SONS CONSTRUCTION, INC",United States,Construction,1M - 10M,10 - 50,1989,"Flywheel is managed WordPress hosting built for designers and creative agencies. Build, scale, and managed hundreds of WP sites with ease on Flywheel.",-72.62395,42.09709,active,,22,"['Google Tag Manager', 'WooCommerce', 'WordPress']"
,,,,,,http://zim.com,,,0,ZIM Integrated Shipping Services Ltd.,Israel,Maritime,1M - 10M,,1945,"Launched in Israel in 1945, ZIM (NYSE:ZIM) became a pioneer in container shipping in the early 1970’s, and has established itself as a leading global, asset-light container liner shipping company. We provide customers with innovative seaborne transportation and logistics services, covering the world’s major trade routes and focusing on select markets where we have competitive advantages and are able to maximize our market position.

ZIM’s unique strategy as a digital-oriented, asset-light, global niche carrier offers distinctive advantages, allowing the company to provide innovative and premium customer-centric services while maximizing profitability.

Through this focused strategy, enhanced digital tools, and a reputation as a top industry performer with high schedule reliability and service quality, ZIM is positioned to continue to expand its leadership and achieve best-in-class margins.",,,active,3717000,,"['CloudFlare', 'Google Analytics', 'HubSpot', 'Piwik']"
,,,,,,http://dexmedia.com,,,19,DEX MEDIA INC,United States,Management Consulting,> 1B,,1841,"Thryv Holdings, Inc. (NASDAQ:THRY), provider of Thryv software, supports more than 40,000 local businesses across the U.S. We created a fully integrated, end-to-end customer experience platform so small businesses can reach more customers, stay organized, get paid faster and generate more reviews.

With Thryv's platform, small businesses can manage their customers anytime, anywhere and on any device.",,,active,1815000000,,"['AddThis', 'Amazon Cloudfront', 'Braintree', 'CloudFlare', 'Google Analytics', 'Google Tag Manager', 'Gravatar', 'MaxCDN', 'Mixpanel', 'NewRelic', 'Pardot', 'Salesforce force.com', 'Salesforce Live Agent', 'Salesforce SFDC', 'Wistia', 'WooCommerce', 'WordPress', 'Zendesk']"
,,,,,,http://dorelhome.com,,,0,Dorel Home,United States,Consumer Goods,200M - 1B,"1,000 - 5,000",1962,"Dorel Home is made up of diverse furniture segments that produce a wide range of home furniture and commercial hardware for major retailers throughout North America.

With our own domestic factories as well as an extensive world-wide sourcing and engineering organization, Dorel Home products furnish every room in the household. A wide range of internationally recognized consumer brands help Dorel Home with its mission of providing market-leading consumer furniture with unmatched values and quality.

Dorel Home markets a wide assortment of both domestically produced and imported furniture products, principally within North America. Dorel Industries Inc. has annual sales of US$2.6 billion and employs approximately 8,900 people in facilities located in worldwide.",,,active,,,['Shopify']
,,,,,,http://sanjose.disasterkleen.com,,,1,Disaster Kleenup Specialists - San Jose,United States,Environmental Services,1M - 10M,10 - 50,,"Disaster Kleenup Specialists, based out of California\'s Central Coast, has been serving homeowners for over 30 years. We offer services such as fire damage",-121.857756,37.31064,active,,,"['Constant Contact', 'Google Analytics', 'WordPress']"
,,,,,,http://silkhospitality.com.au,,,0,Silk Hospitality,Australia,Hospitality,200M - 1B,"1,000 - 5,000",2010,"Silk Hospitality is an Australian owned and operated leading provider of hospitality services to luxury hotels. Operating for over 13 years and employing over 3000 people around the country, our success is underpinned by the diversity, passion and loyalty of our wonderful team.

As a specialist outsourced housekeeping provider, Silk Hospitality has developed a comprehensive range of integrated services all delivered under one banner. With vast industry knowledge and experience, Silk Hospitality is accomplished at delivering hotels with high quality housekeeping services with maximum efficiency.

Silk Hospitality has an Executive team with diverse and professional skill sets, a sound business model and market strategy. Focused solely on the accommodation industry, Silk has a strong appreciation of the importance of quality and the guest experience. They provide an outstanding outsourced housekeeping service which seamlessly integrates with a hotel’s brand, standards and image.  

Perhaps the greatest advantage of outsourcing the hotel's housekeeping department with Silk, is the full utilisation of their investments, innovations and specialised professional capabilities, which for any one organisation would be prohibitively expensive to replicate.

Silk’s customers range from boutique properties, to contracts with major hotel chains. They match their resources with client’s needs, maintaining the flexibility to manage the unpredictability of a multi-tiered business. Silk is dedicated to their clients and have a reputation for excellence.",,,active,,,['Varnish']
